id,claim,company,evidence,label
claim_00229,Even lower-demand scenarios like the International Energy Agency’s Net Zero by 2050 (IEA NZE) project growth in plastics.,Exxonmobil,"Unpacking ExxonMobil’s push for sustainable plastics. || (World Oil)– ExxonMobil said net zero goals for the global energy sector are likely to drift further beyond 2050 due to consumers pushing back against high costs and a revival in demand for coal, the most polluting fossil fuel. || The announcement comes amid increasing public concern about the plastic sector’s environmental and climate impact.",3
claim_00052,We therefore are investing in our water positive commitment in four ways: 1 We are taking action to reduce the intensity with which we withdraw resources by continuing to design and innovate in order to minimize water use and achieve our intensity target.,Microsoft,"Amazon’s Water Positive campaign remains active but continues to exclude secondary water use from its accounting, and the company has not made its overall water consumption public. || This work resulted in an “action plan” in which both organizations highlighted the severe water crisis in the area and proposed several recommendations. || However, critics point out that the company is becoming even more resource-intensive, with both energy and water use rising to the point of overstressing local supplies and networks.",5
claim_00564,"That means we must diversify our energy portfolio with additional reliable carbonfree sources, so we remain on track to reach net-zero carbon emissions by 2040.",Amazon,"Amazon has started some sustainability initiatives, including its Climate Pledge to reach net-zero carbon by 2040.",1
claim_00502,"Over the past five years, we’ve done this by encouraging companies to join The Climate Pledge—and we’re proud that over 500 have joined us and committed to be net-zero carbon 10 years ahead of the Paris Agreement.",Amazon,"Sarah Dimson-Tararuj, Head of Strategic Projects and Programs at The Climate Pledge–Amazon, added: “The commitment of companies like VEMO highlights the power of cross-sector collaboration to meet the ambitious target of The Climate Pledge: net-zero carbon emissions by 2040. || This year’s United Nations climate summit promises to be symbolic, marking a decade since the Paris Agreement and taking place in the environmentally vulnerable Amazon. || Amazon was a founding signatory of The Climate Pledge, a global commitment to achieve net-zero carbon emissions by 2040.",2
claim_00458,LinkedIn Advancing waste reduction LinkedIn contributed to our zero waste achievements by advancing waste reduction across its offices and datacenters.,Microsoft,"LinkedIn is now home to 1.2 billion members, and we are bringing AI agents into the core workflows of sales, hiring, and learning. || And we're introducing new LinkedIn courses for teachers and students, enabling them to earn LinkedIn certifications that will help boost their resumes and open doors.Across all of this, one thing is clear: People want technology they can trust. || In May of this year, the company joined the European organization Net Zero Innovation Hub for Data Centers as a Project HubPartner, joining Google and MicroSoft along with Danfoss, Data4, Schneider Electric, and Vertiv in the decarbonization effort.",3
claim_00286,"While we’ve seen progress in key markets, we continue to advocate for policies that enable renewable energy to compete fairly with fossil fuels and subsidized power rates, opening more avenues for our suppliers to transition to sourcing 100 percent renewable electricity (see page 71).",Apple,"The agreement contributes to Poland’s target of generating 50 percent of its electricity from renewable sources by 2030. || Officials say it’s part of their mission to expand renewable energy and foster economic development. || Building business, one energy supplier at a time Speaking to PA News Agency, Jackson stressed that the move to renewables is a business decision.",1
claim_00210,"By 2022, we had contracted enough renewable energy capacity to match our 2025 projections.",Amazon,"February 09, 2023 | 10:09
On February 8, Amazon announced that in 2022 it grew its renewable energy capacity by 8.3GW through 133 new projects across 11 countries. || The likely reason for the record growth between 2023 and 2024 was a large contribution from wildfire emissions and a reduced uptake of CO2 by land and the ocean in 2024—the warmest year on record, with a strong El Niño. || The likely reason for the record growth between 2023 and 2024 was a large contribution from wildfire emissions and a reduced uptake of CO2 by land and the ocean in 2024 -- the warmest year on record, with a strong El Nino.",2
claim_01117,| 2024 Advancing Climate Solutions 80 We are pursuing third-party carbon emissions reductions of more than 50 million metric tons per year by 2030 We see the opportunity to help other essential industries and customers achieve their goals to lower emissions.,Exxonmobil,"In 2021, ExxonMobil announced Scope 1 and 2 greenhouse gas emission-reduction plans for 2030 for operated assets, compared to 2016 levels.",3
claim_00179,"By the end of 2024, Amazon had eight solar energy projects paired with battery energy storage systems, representing 2.1 GW of capacity, up from 1.9 GW in 2023.",Amazon,"February 09, 2023 | 10:09
On February 8, Amazon announced that in 2022 it grew its renewable energy capacity by 8.3GW through 133 new projects across 11 countries. || Amazon also invests heavily in renewable energy, supporting over 500 solar and wind projects that power its operations. || Amazon has more than 600 renewable energy projects worldwide.",2
claim_01210,It tracks business alignment with a net-zero emissions future and the Paris Agreement goal of limiting global temperature rise to 1.5°C.,Shell,The project was first announced in 2021 as part of plans to help Europe meet internationally binding emissions reduction targets.,3
claim_00865,"The Supplier Energy Efficiency Program, launched in 2015, helps suppliers optimize their energy use.",Apple,"As part of its 2030 goal to achieve carbon neutrality across the supply chain, the company is assisting suppliers in upgrading to energy-efficient equipment and adopting sustainable materials. || Central to this effort is the launch of the American Manufacturing Program (AMP), aimed at strengthening supply chains, boosting local production, and encouraging global suppliers to manufacture more critical components within the United States.",1
claim_00066,"Replacing with 100/100/0 carbon-free energy By 2030, 100% of our electricity consumption will be matched by zero carbon energy purchases 100% of the time.",Microsoft,"“We need our suppliers also to be getting onto 100% carbon-free energy” said Haig. || Constellation is projected to produce 95% of its energy carbon free by 2030 and 100% a decade later. || Regional Responsibility: Energy Transition & Training Initiatives
The total energy consumption of all Microsoft datacenters will be covered 100 percent by carbon free energy purchases by the end of 2025.",2
claim_00062,"In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",Microsoft,The company has committed to becoming carbon negative by 2030.,1
