company,claim,evidence,label,correct,reason,notes
Microsoft,Microsoft also expanded into nuclear energy with the signing of our first large-scale nuclear energy PPA with the Crane Clean Energy Center in September 2024.,"For example, last September, the utility signed a 20-year PPA with Microsoft to support the launch of the Crane Clean Energy Center.",SUPPORTS,y,Mentions Microsofts relationship with the Crane Clean Energy Center,
Microsoft,Microsoft also expanded into nuclear energy with the signing of our first large-scale nuclear energy PPA with the Crane Clean Energy Center in September 2024.,It's a significant deal from the nuclear energy industry's standpoint as Constellation Energy plans to restart shuttered Unit 1 of its Three Mile Island nuclear power plant (renamed as the Crane Clean Energy Center) to provide power to Microsoft.,SUPPORTS,y,^^,
Exxonmobil,Our efforts support the goals of the Global Methane Pledge and the U.S. Methane Emissions Reduction Plan – as well as ExxonMobil’s 2050 net-zero ambition.,"By 2030, ExxonMobil is on track to achieve methane reductions of 70%–80%.",SUPPORTS,partially,First half of the claim is supported,
Shell,"At the same time, the world must achieve an orderly transition away from fossil fuels to low-carbon energy to achieve net-zero emissions.","By working together, with effective government policies, the world can move to low-carbon products and maintain a secure supply of affordable energy,” the spokesperson added.",SUPPORTS,y,"The evidence matches the claim, but the claim itself is more of a general statement",
Shell,"At the same time, the world must achieve an orderly transition away from fossil fuels to low-carbon energy to achieve net-zero emissions.","'We continue to believe that low carbon molecules, including biofuels, will underpin the future energy system.",SUPPORTS,y,^^,
Shell,"At the same time, the world must achieve an orderly transition away from fossil fuels to low-carbon energy to achieve net-zero emissions.","“As we supply vital energy the world needs today, we are transforming our business to supply lower-carbon fuels for the future.",SUPPORTS,y,^^,
Google,38 Data center energy Supply chain energy Appendix Resource efficiency Research Disaster response Protecting the planet Age of AI Introduction Resource efficiency Water stewardship Contents 40 Advancing responsible water use: Our approach to climate-conscious data center cooling 42 Replenishing water: A local approach to water stewardship Water is one of the most essential resources on Earth.,"The ecological impact of data centers
The activists stated that data centers of this scale are notoriously water and energy-hungry, consuming billions of litres annually for cooling and maintenance globally.",SUPPORTS,-,The claim itself seems to be just subtitles,
Google,38 Data center energy Supply chain energy Appendix Resource efficiency Research Disaster response Protecting the planet Age of AI Introduction Resource efficiency Water stewardship Contents 40 Advancing responsible water use: Our approach to climate-conscious data center cooling 42 Replenishing water: A local approach to water stewardship Water is one of the most essential resources on Earth.,Machines are thirsty: Data centers powering AI require colossal amounts of water for cooling.,SUPPORTS,-,^^,
Google,38 Data center energy Supply chain energy Appendix Resource efficiency Research Disaster response Protecting the planet Age of AI Introduction Resource efficiency Water stewardship Contents 40 Advancing responsible water use: Our approach to climate-conscious data center cooling 42 Replenishing water: A local approach to water stewardship Water is one of the most essential resources on Earth.,"As AI adoption accelerates, experts warn that efficient water resource management will be critical to ensure sustainability.",SUPPORTS,-,^^,
Google,"18 Google researchers also built Green Light, an AI-based tool that helps city traffic engineers optimize the timing of traffic lights, which has shown the potential to reduce stops at intersections by up to 30% and reduce emissions at intersections by an average of over 10%.","""The Green Light project uses driving trends from Google Maps and artificial intelligence to map a city's traffic patterns and then make specific recommendations for specific intersections that can be implemented very quickly by city engineers,"" said Laurence Therrien, public affairs manager at Google Canada.",SUPPORTS,partially,"Supports the claim that they are building this project, but not necessarily that it will reduce emissions",
